County,Year,precip
Norton,2020,16.21
Osage,2020,31.38
Osborne,2020,23.74
Ottawa,2020,28.45
Pawnee,2020,25.35
Phillips,2020,17.62
Pottawatomie,2020,29.87
Pratt,2020,26.9
Rawlins,2020,13.02
Reno,2020,28.45
Republic,2020,23.68
Rice,2020,27.95
Riley,2020,31.31
Rooks,2020,20.02
Rush,2020,23.34
Russell,2020,24.37
Saline,2020,27.99
Scott,2020,15.28
Sedgwick,2020,29.32
Seward,2020,16.89
Shawnee,2020,33.63
Sheridan,2020,14.23
Sherman,2020,14.75
Smith,2020,20.4
Stafford,2020,29.3
Stanton,2020,11.85
Stevens,2020,15.56
Sumner,2020,31.43
Thomas,2020,14.42
Trego,2020,18.15
Wabaunsee,2020,31.59
Wallace,2020,11.38
Washington,2020,27.42
Wichita,2020,15.69
Wilson,2020,37.48
Woodson,2020,33.6
Wyandotte,2020,33.84
